Data,Price,Open,Max,Min
01.10.2024,5705.45,5757.73,5878.46,5674
01.09.2024,5762.48,5623.89,5767.37,5402.62
01.08.2024,5648.4,5537.84,5651.62,5119.26
01.07.2024,5522.3,5471.08,5669.67,5390.95
01.06.2024,5460.48,5297.15,5523.64,5234.32
01.05.2024,5277.51,5029.03,5341.88,5011.05
01.04.2024,5035.69,5257.97,5263.95,4953.56
01.03.2024,5254.35,5098.51,5264.85,5056.82
01.02.2024,5096.27,4861.11,5111.06,4853.52
01.01.2024,4845.65,4745.2,4931.09,4682.11
01.12.2023,4769.83,4559.43,4793.3,4546.5
01.11.2023,4567.8,4201.27,4587.64,4197.74
01.10.2023,4193.8,4284.52,4393.57,4103.78
01.09.2023,4288.05,4530.6,4541.25,4238.63
01.08.2023,4507.66,4578.83,4584.62,4335.31
01.07.2023,4588.96,4450.48,4607.07,4385.05
01.06.2023,4450.38,4183.03,4458.48,4171.64
01.05.2023,4179.83,4166.79,4231.1,4048.28
01.04.2023,4169.48,4102.2,4170.06,4049.35
01.03.2023,4109.31,3963.34,4110.75,3808.86
01.02.2023,3970.15,4070.07,4195.44,3943.08
01.01.2023,4076.6,3853.29,4094.21,3794.33
01.12.2022,3839.5,4087.14,4100.96,3764.49
01.11.2022,4080.11,3901.79,4080.11,3698.15
01.10.2022,3871.98,3609.78,3905.42,3491.58
01.09.2022,3585.62,3936.73,4119.28,3584.13
01.08.2022,3955,4112.38,4325.28,3954.53
01.07.2022,4130.29,3781,4140.15,3721.56
01.06.2022,3785.38,4149.78,4177.51,3636.87
01.05.2022,4132.15,4130.61,4307.66,3810.32
01.04.2022,4131.93,4540.32,4593.45,4124.28
01.03.2022,4530.41,4363.14,4637.3,4157.87
01.02.2022,4373.94,4519.57,4595.31,4114.65
01.01.2022,4515.55,4778.14,4818.62,4222.62
01.12.2021,4766.18,4602.82,4808.93,4495.12
01.11.2021,4567,4610.62,4743.83,4560
01.10.2021,4605.38,4317.16,4608.08,4278.94
01.09.2021,4307.54,4528.8,4545.85,4305.91
01.08.2021,4522.68,4406.86,4537.36,4367.73
01.07.2021,4395.26,4300.73,4429.97,4233.13
01.06.2021,4297.5,4216.52,4302.43,4164.4
01.05.2021,4204.11,4191.98,4238.04,4056.88
01.04.2021,4181.17,3992.78,4218.78,3992.78
01.03.2021,3972.89,3842.51,3994.41,3723.34
01.02.2021,3811.15,3731.17,3950.43,3725.62
01.01.2021,3714.24,3764.61,3870.9,3662.71
01.12.2020,3756.07,3645.87,3760.2,3633.4
01.11.2020,3621.63,3296.2,3645.99,3279.74
01.10.2020,3269.96,3385.87,3549.85,3233.94
01.09.2020,3363,3507.44,3588.11,3209.45
01.08.2020,3500.31,3288.26,3514.77,3284.53
01.07.2020,3271.12,3105.92,3279.99,3101.17
01.06.2020,3100.29,3038.78,3233.13,2965.66
01.05.2020,3044.31,2869.09,3068.67,2766.64
01.04.2020,2912.43,2498.08,2954.86,2447.49
01.03.2020,2584.59,2974.28,3136.72,2191.86
01.02.2020,2954.22,3235.66,3393.52,2855.84
01.01.2020,3225.52,3244.67,3337.77,3214.64
01.12.2019,3230.78,3143.85,3247.93,3070.33
01.11.2019,3140.98,3050.72,3154.26,3050.72
01.10.2019,3037.56,2983.69,3050.1,2855.94
01.09.2019,2976.74,2909.01,3021.99,2891.85
01.08.2019,2926.46,2980.32,3013.59,2822.12
01.07.2019,2980.38,2971.41,3027.98,2952.22
01.06.2019,2941.76,2751.53,2964.15,2728.81
01.05.2019,2752.06,2952.33,2954.13,2750.52
01.04.2019,2945.83,2848.63,2949.52,2848.63
01.03.2019,2834.4,2798.22,2860.31,2722.27
01.02.2019,2784.49,2702.32,2813.49,2681.83
01.01.2019,2704.1,2476.96,2708.95,2443.96
01.12.2018,2506.85,2790.5,2800.18,2346.58
01.11.2018,2760.17,2717.58,2815.15,2631.09
01.10.2018,2711.74,2926.29,2939.86,2603.54
01.09.2018,2913.98,2896.96,2940.91,2864.12
01.08.2018,2901.52,2821.17,2916.5,2796.34
01.07.2018,2816.29,2704.95,2848.03,2698.95
01.06.2018,2718.37,2718.7,2791.47,2691.99
01.05.2018,2705.27,2643.64,2742.24,2594.62
01.04.2018,2648.05,2633.45,2717.49,2553.8
01.03.2018,2640.87,2715.22,2801.9,2585.89
01.02.2018,2713.83,2816.45,2835.96,2532.69
01.01.2018,2823.81,2683.73,2872.87,2682.36
01.12.2017,2673.61,2645.1,2694.97,2605.52
01.11.2017,2647.58,2583.21,2657.74,2557.45
01.10.2017,2575.26,2521.2,2582.98,2520.4
01.09.2017,2519.36,2474.42,2519.44,2446.55
01.08.2017,2471.65,2477.1,2490.87,2417.35
01.07.2017,2470.3,2431.39,2484.04,2407.7
01.06.2017,2423.41,2415.65,2453.82,2405.7
01.05.2017,2411.8,2388.5,2418.71,2352.72
01.04.2017,2384.2,2362.34,2398.16,2328.95
01.03.2017,2362.72,2380.13,2400.98,2322.25
01.02.2017,2363.64,2285.59,2371.54,2271.65
01.01.2017,2278.87,2251.57,2300.99,2245.13
01.12.2016,2238.83,2200.17,2277.53,2187.44
01.11.2016,2198.81,2128.68,2214.1,2083.79
01.10.2016,2126.15,2164.33,2169.6,2114.72
01.09.2016,2168.27,2171.33,2187.87,2119.12
01.08.2016,2170.95,2173.15,2193.81,2147.58
01.07.2016,2173.6,2099.34,2177.09,2074.02
01.06.2016,2098.86,2093.94,2120.55,1991.68
01.05.2016,2096.96,2067.17,2103.48,2025.91
01.04.2016,2065.3,2056.62,2111.05,2033.8
01.03.2016,2059.74,1937.09,2072.21,1937.09
01.02.2016,1932.23,1936.94,1962.96,1810.1
01.01.2016,1940.24,2038.2,2038.2,1812.29
01.12.2015,2043.94,2082.93,2104.27,1993.26
01.11.2015,2080.41,2080.76,2116.48,2019.39
01.10.2015,2079.36,1919.65,2094.32,1893.7
01.09.2015,1920.03,1970.09,2020.86,1871.91
01.08.2015,1972.18,2104.49,2112.66,1867.01
01.07.2015,2103.84,2067,2132.82,2044.02
01.06.2015,2063.11,2108.64,2129.87,2056.32
01.05.2015,2107.39,2087.38,2134.72,2067.93
01.04.2015,2085.51,2067.63,2125.92,2048.38
01.03.2015,2067.89,2105.23,2117.52,2039.69
01.02.2015,2104.5,1996.67,2119.59,1980.9
01.01.2015,1994.99,2058.9,2072.36,1988.12
01.12.2014,2058.9,2065.78,2093.55,1972.56
