Data,Price,Open,Max,Min
26.11.2024,6014.07,6001.9,6016.25,5992.32
25.11.2024,5987.37,5992.28,6020.75,5963.91
22.11.2024,5969.34,5944.36,5972.9,5944.36
21.11.2024,5948.71,5940.58,5963.32,5887.26
20.11.2024,5917.11,5914.34,5920.67,5860.56
19.11.2024,5916.98,5870.05,5923.51,5855.29
18.11.2024,5893.62,5874.17,5908.12,5865.95
15.11.2024,5870.62,5912.79,5915.32,5853.01
14.11.2024,5949.17,5989.68,5993.88,5942.28
13.11.2024,5985.38,5985.75,6008.19,5965.91
12.11.2024,5983.99,6003.6,6009.92,5960.08
11.11.2024,6001.35,6008.86,6017.31,5986.69
08.11.2024,5995.54,5976.76,6012.45,5976.76
07.11.2024,5973.1,5947.21,5983.84,5947.21
06.11.2024,5929.04,5864.89,5936.14,5864.89
05.11.2024,5782.76,5722.43,5783.44,5722.1
04.11.2024,5712.69,5725.15,5741.43,5696.51
01.11.2024,5728.8,5723.22,5772.52,5723.22
31.10.2024,5705.45,5775.34,5775.34,5702.86
30.10.2024,5813.67,5832.65,5850.94,5811.28
29.10.2024,5832.92,5819.68,5847.19,5802.17
28.10.2024,5823.52,5833.93,5842.92,5823.08
25.10.2024,5808.12,5826.75,5862.82,5799.98
24.10.2024,5809.86,5817.8,5817.8,5784.92
23.10.2024,5797.42,5834.5,5834.85,5762.41
22.10.2024,5851.2,5832.7,5863.04,5821.17
21.10.2024,5853.98,5857.82,5866.92,5824.79
18.10.2024,5864.67,5859.43,5872.17,5846.11
17.10.2024,5841.47,5875.62,5878.46,5840.25
16.10.2024,5842.47,5816.58,5846.52,5808.34
15.10.2024,5815.26,5866.74,5870.36,5804.48
14.10.2024,5859.85,5829.81,5871.41,5829.57
11.10.2024,5815.03,5775.09,5822.13,5775.09
10.10.2024,5780.05,5778.36,5795.03,5764.76
09.10.2024,5792.04,5751.8,5796.8,5745.02
08.10.2024,5751.13,5719.14,5757.6,5714.56
07.10.2024,5695.94,5737.8,5739.34,5686.85
04.10.2024,5751.07,5737.48,5753.21,5702.83
03.10.2024,5699.94,5698.19,5718.78,5677.37
02.10.2024,5709.54,5698.14,5719.63,5674
01.10.2024,5708.75,5757.73,5757.73,5681.28
30.09.2024,5762.48,5726.52,5765.14,5703.53
27.09.2024,5738.17,5755.36,5763.78,5727.34
26.09.2024,5745.37,5762.22,5767.37,5721.01
25.09.2024,5722.26,5733.65,5741.03,5712.06
24.09.2024,5732.93,5727.66,5735.32,5698.99
23.09.2024,5718.57,5711.9,5725.36,5704.22
20.09.2024,5702.55,5709.64,5715.14,5674.49
19.09.2024,5713.64,5702.63,5733.57,5686.42
18.09.2024,5618.26,5641.68,5689.75,5615.08
17.09.2024,5634.58,5655.51,5670.81,5614.05
16.09.2024,5633.09,5615.21,5636.05,5604.53
13.09.2024,5626.02,5603.34,5636.27,5601.65
12.09.2024,5595.76,5557.48,5600.71,5535.5
11.09.2024,5554.13,5496.42,5560.41,5406.96
10.09.2024,5495.52,5490.51,5497.91,5441.72
09.09.2024,5471.05,5442.07,5484.2,5434.49
06.09.2024,5408.42,5507.33,5522.47,5402.62
05.09.2024,5503.41,5520.08,5546.3,5480.54
04.09.2024,5520.07,5506.68,5552.99,5503.66
03.09.2024,5528.93,5623.89,5623.89,5504.33
30.08.2024,5648.4,5612.74,5651.37,5581.79
29.08.2024,5591.96,5607.3,5646.95,5583.71
28.08.2024,5592.18,5624.51,5627.03,5560.95
27.08.2024,5625.8,5602.89,5631.18,5593.48
26.08.2024,5616.84,5639.66,5651.62,5602.34
23.08.2024,5634.61,5602.49,5641.82,5585.16
22.08.2024,5570.64,5637.77,5643.22,5560.95
21.08.2024,5620.85,5603.09,5632.68,5591.57
20.08.2024,5597.12,5602.88,5620.51,5585.5
19.08.2024,5608.25,5557.23,5608.3,5550.74
16.08.2024,5554.25,5530.5,5561.98,5525.17
15.08.2024,5543.22,5501.13,5546.23,5501.13
14.08.2024,5455.21,5442.36,5463.22,5415.91
13.08.2024,5434.43,5376.98,5436.5,5376.98
12.08.2024,5344.39,5351.88,5371.2,5324.37
09.08.2024,5344.16,5314.66,5358.67,5300.84
08.08.2024,5319.31,5252.57,5328.03,5233.85
07.08.2024,5199.5,5293.13,5330.64,5195.54
